Sample,Fert,Till,AMF
1,No,Till,DAOM197198
5,High,No,DAOM197198
7,High,Till,Cuba8
8,High,No,Cuba8
12,High,Till,CC4
16,High,Till,DAOM197198
17,No,No,Control
18,No,No,DAOM197198
23,No,Till,Control
25,High,Till,Control
30,High,No,Control
33,High,No,Control
40,No,Till,DAOM197198
44,No,No,Cuba8
50,High,Till,CC4
52,No,No,Control
55,High,Till,Control
57,No,Till,Control
59,No,Till,CC4
65,No,Till,Cuba8
71,No,Till,Control
72,High,No,DAOM197198
74,No,No,Control
82,No,Till,CC4
84,High,No,Control
86,No,Till,DAOM197198
88,High,No,CC4
93,No,No,CC4
95,High,Till,Control
98,No,No,Control
104,No,No,DAOM197198
117,No,Till,Control
125,High,No,Control
128,High,Till,Control
130,No,No,Control
139,No,Till,Control
140,No,No,DAOM197198
143,High,No,Control
150,High,Till,DAOM197198
152,High,Till,Control
157,No,No,CC4
158,High,No,DAOM197198
169,High,No,CC4
194,High,Till,Cuba8
202,No,No,Cuba8
203,High,No,CC4
205,High,No,Cuba8
210,No,Till,DAOM197198
212,High,Till,DAOM197198
219,No,Till,Cuba8
229,High,Till,CC4
235,No,No,DAOM197198
236,High,Till,DAOM197198
240,No,Till,DAOM197198
245,No,No,CC4
248,No,Till,Cuba8
252,No,Till,CC4
254,No,No,Cuba8
260,No,Till,Cuba8
261,No,No,CC4
263,High,Till,Cuba8
264,No,Till,CC4
279,No,No,Cuba8
284,High,No,CC4
286,High,Till,DAOM197198
287,High,Till,CC4
293,High,Till,CC4
295,No,No,DAOM197198
304,No,No,CC4
307,No,No,Cuba8
308,No,Till,Cuba8
309,High,No,CC4
315,High,No,Cuba8
320,High,Till,Cuba8