Sample,Treatment,Fert,Till,AMF
5,DAOM197198_high_fert,High,No,DAOM197198
7,Cuba8_high_fert_till,High,Till,Cuba8
8,Cuba8_high_fert,High,No,Cuba8
16,DAOM197198_high_fert_till,High,Till,DAOM197198
17,Control_no_fert,No,No,Control
18,DAOM197198_no_fert,No,No,DAOM197198
23,Control_no_fert_till,No,Till,Control
25,Control_high_fert_till,High,Till,Control
30,Control_high_fert,High,No,Control
33,Control_high_fert,High,No,Control
40,DAOM197198_no_fert_till,No,Till,DAOM197198
50,CC4_high_fert_till,High,Till,CC4
52,Control_no_fert,No,No,Control
59,CC4_no_fert_till,No,Till,CC4
71,Control_no_fert_till,No,Till,Control
72,DAOM197198_high_fert,High,No,DAOM197198
74,Control_no_fert,No,No,Control
82,CC4_no_fert_till,No,Till,CC4
93,CC4_no_fert,No,No,CC4
95,Control_high_fert_till,High,Till,Control
104,DAOM197198_no_fert,No,No,DAOM197198
125,Control_high_fert,High,No,Control
128,Control_high_fert_till,High,Till,Control
139,Control_no_fert_till,No,Till,Control
150,DAOM197198_high_fert_till,High,Till,DAOM197198
158,DAOM197198_high_fert,High,No,DAOM197198
203,CC4_high_fert,High,No,CC4
210,DAOM197198_no_fert_till,No,Till,DAOM197198
235,DAOM197198_no_fert,No,No,DAOM197198
240,DAOM197198_no_fert_till,No,Till,DAOM197198
248,Cuba8_no_fert_till,No,Till,Cuba8
254,Cuba8_no_fert,No,No,Cuba8
260,Cuba8_no_fert_till,No,Till,Cuba8
261,CC4_no_fert,No,No,CC4
263,Cuba8_high_fert_till,High,Till,Cuba8
264,CC4_no_fert_till,No,Till,CC4
279,Cuba8_no_fert,No,No,Cuba8
284,CC4_high_fert,High,No,CC4
286,DAOM197198_high_fert_till,High,Till,DAOM197198
287,CC4_high_fert_till,High,Till,CC4
304,CC4_no_fert,No,No,CC4
308,Cuba8_no_fert_till,No,Till,Cuba8
309,CC4_high_fert,High,No,CC4
315,Cuba8_high_fert,High,No,Cuba8
320,Cuba8_high_fert_till,High,Till,Cuba8
283,Cuba8-high-fert-2mos-9,High,No,Cuba8
312,CC4-high-fert-till-2mos-9,High,Till,CC4