"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00193","Claroideoglomus","Claroideoglomeraceae",193,"Claroideoglomus VTX00193",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00276","Claroideoglomus","Claroideoglomeraceae",276,"Claroideoglomus VTX00276",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00402","Claroideoglomus","Claroideoglomeraceae",402,"Claroideoglomus VTX00402",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00058","Diversispora","Diversisporaceae",58,"Diversispora VTX00058",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00263","Diversispora","Diversisporaceae",263,"Diversispora VTX00263",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00306","Diversispora","Diversisporaceae",306,"Diversispora VTX00306",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00401","Diversispora","Diversisporaceae",401,"Diversispora VTX00401",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00052","Scutellospora","Gigasporaceae",52,"Scutellospora VTX00052",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00255","Scutellospora","Gigasporaceae",255,"Scutellospora VTX00255",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00063","Glomus","Glomeraceae",63,"Glomus VTX00063",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00064","Glomus","Glomeraceae",64,"Glomus VTX00064",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00077","Glomus","Glomeraceae",77,"Glomus VTX00077",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00099","Glomus","Glomeraceae",99,"Glomus VTX00099",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00104","Glomus","Glomeraceae",104,"Glomus VTX00104",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00109","Glomus","Glomeraceae",109,"Glomus VTX00109",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00113","Glomus","Glomeraceae",113,"Glomus VTX00113",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00114","Glomus","Glomeraceae",114,"Glomus VTX00114",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00130","Glomus","Glomeraceae",130,"Glomus VTX00130",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00132","Glomus","Glomeraceae",132,"Glomus VTX00132",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00151","Glomus","Glomeraceae",151,"Glomus VTX00151",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00156","Glomus","Glomeraceae",156,"Glomus VTX00156",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00167","Glomus","Glomeraceae",167,"Glomus VTX00167",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00174","Glomus","Glomeraceae",174,"Glomus VTX00174",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00177","Glomus","Glomeraceae",177,"Glomus VTX00177",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00178","Glomus","Glomeraceae",178,"Glomus VTX00178",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00194","Glomus","Glomeraceae",194,"Glomus VTX00194",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00197","Glomus","Glomeraceae",197,"Glomus VTX00197",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00206","Glomus","Glomeraceae",206,"Glomus VTX00206",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00209","Glomus","Glomeraceae",209,"Glomus VTX00209",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00213","Glomus","Glomeraceae",213,"Glomus VTX00213",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00214","Glomus","Glomeraceae",214,"Glomus VTX00214",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00222","Glomus","Glomeraceae",222,"Glomus VTX00222",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00233","Glomus","Glomeraceae",233,"Glomus VTX00233",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00234","Glomus","Glomeraceae",234,"Glomus VTX00234",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00235","Glomus","Glomeraceae",235,"Glomus VTX00235",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00247","Glomus","Glomeraceae",247,"Glomus VTX00247",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00287","Glomus","Glomeraceae",287,"Glomus VTX00287",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00294","Glomus","Glomeraceae",294,"Glomus VTX00294",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00304","Glomus","Glomeraceae",304,"Glomus VTX00304",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00322","Glomus","Glomeraceae",322,"Glomus VTX00322",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00323","Glomus","Glomeraceae",323,"Glomus VTX00323",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00331","Glomus","Glomeraceae",331,"Glomus VTX00331",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00332","Glomus","Glomeraceae",332,"Glomus VTX00332",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00342","Glomus","Glomeraceae",342,"Glomus VTX00342",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00343","Glomus","Glomeraceae",343,"Glomus VTX00343",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00364","Glomus","Glomeraceae",364,"Glomus VTX00364",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00372","Glomus","Glomeraceae",372,"Glomus VTX00372",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00381","Glomus","Glomeraceae",381,"Glomus VTX00381",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00384","Glomus","Glomeraceae",384,"Glomus VTX00384",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00395","Glomus","Glomeraceae",395,"Glomus VTX00395",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00397","Glomus","Glomeraceae",397,"Glomus VTX00397",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00407","Glomus","Glomeraceae",407,"Glomus VTX00407",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00409","Glomus","Glomeraceae",409,"Glomus VTX00409",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00411","Glomus","Glomeraceae",411,"Glomus VTX00411",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00412","Glomus","Glomeraceae",412,"Glomus VTX00412",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00418","Glomus","Glomeraceae",418,"Glomus VTX00418",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00423","Glomus","Glomeraceae",423,"Glomus VTX00423",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00238","Paraglomus","Paraglomeraceae",238,"Paraglomus VTX00238",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00281","Paraglomus","Paraglomeraceae",281,"Paraglomus VTX00281",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00308","Paraglomus","Paraglomeraceae",308,"Paraglomus VTX00308",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00335","Paraglomus","Paraglomeraceae",335,"Paraglomus VTX00335",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00348","Paraglomus","Paraglomeraceae",348,"Paraglomus VTX00348",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00350","Paraglomus","Paraglomeraceae",350,"Paraglomus VTX00350",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00352","Paraglomus","Paraglomeraceae",352,"Paraglomus VTX00352",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00375","Paraglomus","Paraglomeraceae",375,"Paraglomus VTX00375",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00446","Paraglomus","Paraglomeraceae",446,"Paraglomus VTX00446",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"Unassigned","Unassigned","Unassigned",NA,"Unassigned Unassigned",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
