Family,Genus,Species,total_abundance_Metabarcoding,total_abundance_RNA_taxonomy,n_samples_present_Metabarcoding,n_samples_present_RNA_taxonomy,abundance_diff,sample_diff
Paraglomeraceae,Paraglomus,VTX00348,72532,194,70,16,72338,54
Glomeraceae,Glomus,VTX00423,34145,0,64,0,34145,64
Claroideoglomeraceae,Claroideoglomus,VTX00276,30575,3507,64,30,27068,34
Glomeraceae,Glomus,VTX00151,230,27222,27,31,-26992,-4
Glomeraceae,Glomus,VTX00130,22377,5450,63,30,16927,33
Paraglomeraceae,Paraglomus,VTX00281,15677,982,51,24,14695,27
Diversisporaceae,Diversispora,VTX00063,0,14267,0,30,-14267,-30
Glomeraceae,Glomus,VTX00113,66,13293,27,29,-13227,-2
Glomeraceae,Glomus,VTX00114,15230,2810,56,26,12420,30
Glomeraceae,Glomus,VTX00063,10987,0,63,0,10987,63
Glomeraceae,Glomus,VTX00331,6524,14110,67,31,-7586,36
Diversisporaceae,Diversispora,VTX00306,8403,2039,62,30,6364,32
Paraglomeraceae,Paraglomus,VTX00308,6214,137,67,12,6077,55
Glomeraceae,Glomus,VTX00213,5860,0,61,0,5860,61
Glomeraceae,Glomus,VTX00143,0,5431,0,30,-5431,-30
Claroideoglomeraceae,Claroideoglomus,VTX00193,75,5410,15,30,-5335,-15
Glomeraceae,Glomus,VTX00155,3,4336,2,30,-4333,-28
Glomeraceae,Glomus,VTX00418,3854,0,37,0,3854,37
Paraglomeraceae,Paraglomus,VTX00446,7481,11179,56,31,-3698,25
Paraglomeraceae,Paraglomus,VTX00350,3526,0,65,0,3526,65
Glomeraceae,Glomus,VTX00342,5044,1645,39,27,3399,12
Glomeraceae,Glomus,VTX00387,0,3370,0,28,-3370,-28
Glomeraceae,Glomus,VTX00268,0,3260,0,30,-3260,-30
Glomeraceae,Glomus,VTX00293,0,2853,0,30,-2853,-30
Glomeraceae,Glomus,VTX00166,0,2287,0,29,-2287,-29
Paraglomeraceae,Paraglomus,VTX00352,2280,0,65,0,2280,65
Glomeraceae,Glomus,VTX00163,0,2235,0,29,-2235,-29
Diversisporaceae,Diversispora,VTX00058,2181,0,39,0,2181,39
Glomeraceae,Glomus,VTX00064,1445,3612,47,30,-2167,17
Glomeraceae,Glomus,VTX00067,0,2128,0,30,-2128,-30
Glomeraceae,Glomus,VTX00156,4127,2025,44,24,2102,20
Diversisporaceae,Diversispora,VTX00356,0,2054,0,30,-2054,-30
Diversisporaceae,Diversispora,VTX00263,2011,0,24,0,2011,24
Glomeraceae,Glomus,VTX00332,2489,559,38,30,1930,8
Diversisporaceae,Diversispora,VTX00062,0,1909,0,30,-1909,-30
Glomeraceae,Glomus,VTX00370,0,1851,0,29,-1851,-29
Glomeraceae,Glomus,VTX00214,6856,5188,57,29,1668,28
Glomeraceae,Glomus,VTX00323,1649,0,60,0,1649,60
Glomeraceae,Glomus,VTX00109,1605,0,53,0,1605,53
Glomeraceae,Glomus,VTX00115,0,1442,0,27,-1442,-27
Glomeraceae,Glomus,VTX00329,0,1303,0,26,-1303,-26
Glomeraceae,Glomus,VTX00385,0,1230,0,27,-1230,-27
Glomeraceae,Glomus,VTX00403,0,1159,0,31,-1159,-31
Glomeraceae,Glomus,VTX00194,1313,223,57,21,1090,36
Glomeraceae,Glomus,VTX00069,0,1071,0,28,-1071,-28
Glomeraceae,Glomus,VTX00160,0,1043,0,25,-1043,-25
Glomeraceae,Glomus,VTX00343,877,0,60,0,877,60
Glomeraceae,Glomus,VTX00077,876,0,59,0,876,59
Glomeraceae,Glomus,VTX00089,6,850,4,29,-844,-25
Glomeraceae,Glomus,VTX00128,0,811,0,30,-811,-30
Glomeraceae,Glomus,VTX00090,0,801,0,28,-801,-28
Glomeraceae,Glomus,VTX00304,1338,635,37,21,703,16
Paraglomeraceae,Paraglomus,VTX00335,682,0,35,0,682,35
Glomeraceae,Glomus,VTX00177,1474,798,14,24,676,-10
Glomeraceae,Glomus,VTX00362,0,666,0,25,-666,-25
Glomeraceae,Glomus,VTX00305,0,600,0,14,-600,-14
Glomeraceae,Glomus,VTX00395,568,0,31,0,568,31
Unassigned,Unassigned,Unassigned,495,0,35,0,495,35
Glomeraceae,Glomus,VTX00132,454,0,44,0,454,44
Glomeraceae,Glomus,VTX00199,0,449,0,23,-449,-23
Glomeraceae,Glomus,VTX00197,548,105,21,8,443,13
Diversisporaceae,Scutellospora,VTX00286,0,442,0,27,-442,-27
Glomeraceae,Glomus,VTX00409,686,1127,54,29,-441,25
Glomeraceae,Glomus,VTX00065,0,419,0,24,-419,-24
Glomeraceae,Glomus,VTX00153,0,414,0,26,-414,-26
Glomeraceae,Glomus,VTX00312,6,409,4,28,-403,-24
Glomeraceae,Glomus,VTX00233,332,0,44,0,332,44
Diversisporaceae,Diversispora,VTX00401,318,0,44,0,318,44
Glomeraceae,Glomus,VTX00187,0,309,0,28,-309,-28
Glomeraceae,Glomus,VTX00234,277,0,29,0,277,29
Glomeraceae,Glomus,VTX00256,0,250,0,23,-250,-23
Glomeraceae,Glomus,VTX00074,0,237,0,25,-237,-25
Glomeraceae,Glomus,VTX00088,0,236,0,22,-236,-22
Glomeraceae,Glomus,VTX00092,0,233,0,15,-233,-15
Paraglomeraceae,Paraglomus,VTX00238,231,0,41,0,231,41
Glomeraceae,Glomus,VTX00397,222,0,35,0,222,35
Glomeraceae,Glomus,VTX00315,0,222,0,19,-222,-19
Glomeraceae,Glomus,VTX00186,0,218,0,18,-218,-18
Glomeraceae,Glomus,VTX00137,0,212,0,26,-212,-26
Glomeraceae,Glomus,VTX00209,207,0,37,0,207,37
Gigasporaceae,Scutellospora,VTX00052,206,0,35,0,206,35
Glomeraceae,Glomus,VTX00295,0,204,0,23,-204,-23
Glomeraceae,Glomus,VTX00093,0,198,0,11,-198,-11
Glomeraceae,Glomus,VTX00345,0,195,0,12,-195,-12
Glomeraceae,Glomus,VTX00219,0,192,0,22,-192,-22
Glomeraceae,Glomus,VTX00140,0,190,0,25,-190,-25
Glomeraceae,Glomus,VTX00142,0,180,0,24,-180,-24
Glomeraceae,Glomus,VTX00212,1,175,1,21,-174,-20
Claroideoglomeraceae,Claroideoglomus,VTX00225,0,167,0,21,-167,-21
Glomeraceae,Glomus,VTX00206,160,0,18,0,160,18
Claroideoglomeraceae,Claroideoglomus,VTX00056,151,0,5,0,151,5
Glomeraceae,Glomus,VTX00100,1,148,1,14,-147,-13
Glomeraceae,Glomus,VTX00301,0,144,0,15,-144,-15
Glomeraceae,Glomus,VTX00174,138,0,28,0,138,28
Glomeraceae,Glomus,VTX00366,0,136,0,13,-136,-13
Glomeraceae,Glomus,VTX00096,0,123,0,12,-123,-12
Glomeraceae,Glomus,VTX00367,0,122,0,21,-122,-21
Glomeraceae,Glomus,VTX00154,0,119,0,23,-119,-23
Glomeraceae,Glomus,VTX00396,0,117,0,16,-117,-16
Glomeraceae,Glomus,VTX00185,0,116,0,17,-116,-17
Glomeraceae,Glomus,VTX00105,0,115,0,16,-115,-16
Glomeraceae,Glomus,VTX00117,0,112,0,21,-112,-21
Glomeraceae,Glomus,VTX00439,0,112,0,9,-112,-9
Glomeraceae,Glomus,VTX00135,2,112,2,13,-110,-11
Glomeraceae,Glomus,VTX00248,2,108,1,16,-106,-15
Glomeraceae,Glomus,VTX00247,46,147,18,13,-101,5
Gigasporaceae,Scutellospora,VTX00255,97,0,25,0,97,25
Glomeraceae,Glomus,VTX00235,87,0,33,0,87,33
Glomeraceae,Glomus,VTX00372,34,117,14,19,-83,-5
Glomeraceae,Glomus,VTX00364,76,0,19,0,76,19
Glomeraceae,Glomus,VTX00222,72,0,19,0,72,19
Glomeraceae,Glomus,VTX00322,71,0,26,0,71,26
Glomeraceae,Glomus,VTX00104,69,0,13,0,69,13
Glomeraceae,Glomus,VTX00411,57,0,17,0,57,17
Glomeraceae,Glomus,VTX00099,56,0,19,0,56,19
Glomeraceae,Glomus,VTX00287,56,0,19,0,56,19
Glomeraceae,Glomus,VTX00407,44,0,15,0,44,15
Glomeraceae,Glomus,VTX00412,44,0,22,0,44,22
Paraglomeraceae,Paraglomus,VTX00375,37,0,15,0,37,15
Glomeraceae,Glomus,VTX00121,34,0,18,0,34,18
Glomeraceae,Glomus,VTX00149,31,0,4,0,31,4
Glomeraceae,Glomus,VTX00384,30,0,19,0,30,19
Claroideoglomeraceae,Claroideoglomus,VTX00402,29,0,9,0,29,9
Glomeraceae,Glomus,VTX00167,146,174,20,22,-28,-2
Glomeraceae,Glomus,VTX00216,28,0,9,0,28,9
Acaulosporaceae,Acaulospora,VTX00231,25,0,6,0,25,6
Glomeraceae,Glomus,VTX00419,20,0,9,0,20,9
Paraglomeraceae,Paraglomus,VTX00435,20,0,3,0,20,3
Glomeraceae,Glomus,VTX00108,145,127,13,19,18,-6
Glomeraceae,Glomus,VTX00294,15,0,11,0,15,11
Glomeraceae,Glomus,VTX00383,15,0,2,0,15,2
Glomeraceae,Glomus,VTX00178,14,0,6,0,14,6
Glomeraceae,Glomus,VTX00183,12,0,2,0,12,2
Glomeraceae,Glomus,VTX00360,11,0,4,0,11,4
Glomeraceae,Glomus,VTX00437,11,0,5,0,11,5
Glomeraceae,Glomus,VTX00359,10,0,3,0,10,3
Glomeraceae,Glomus,VTX00381,10,0,7,0,10,7
Glomeraceae,Glomus,VTX00085,9,0,6,0,9,6
Glomeraceae,Glomus,VTX00398,6,0,1,0,6,1
Glomeraceae,Glomus,VTX00310,4,0,4,0,4,4
Claroideoglomeraceae,Claroideoglomus,VTX00057,3,0,1,0,3,1
Claroideoglomeraceae,Claroideoglomus,VTX00237,2,0,2,0,2,2
Glomeraceae,Glomus,VTX00122,2,0,1,0,2,1
Gigasporaceae,Scutellospora,VTX00260,1,0,1,0,1,1
Glomeraceae,Glomus,VTX00191,1,0,1,0,1,1
Glomeraceae,Glomus,VTX00319,1,0,1,0,1,1
Glomeraceae,Glomus,VTX00371,1,0,1,0,1,1
Acaulosporaceae,Acaulospora,VTX00328,0,0,0,0,0,0
Acaulosporaceae,Acaulospora,VTX00379,0,0,0,0,0,0
Claroideoglomeraceae,Claroideoglomus,VTX00341,0,0,0,0,0,0
Claroideoglomeraceae,Claroideoglomus,VTX00358,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00101,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00111,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00112,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00124,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00146,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00175,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00361,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00388,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00399,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00415,0,0,0,0,0,0
Glomeraceae,Glomus,VTX00420,0,0,0,0,0,0
Paraglomeraceae,Paraglomus,VTX00337,0,0,0,0,0,0
